Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
82 "Apple M2 Pro"  36MB + 24MB  2424 ‑ 3504 12/12 ~50.964% 230 2069 1647.5n2 14794.5n2     1957n3 15010n3 386
83 "Intel Core i7-13620H" "Raptor Lake-H" 9.5MB + 24MB 45 1800 ‑ 4900 10/16 52.8 263n3 2349n3 1860n3 15339n3 16.6n3 223n3 5890n3 59430n3 1831n3 11430n3 305.5n4
84 "Intel Core i7-12700H" "Alder Lake-H" 11.5MB + 24MB 45 1700 ‑ 4700 14/20 52.2 256n62 2605n67 1780.5n60 16338n61 16.7n61 214n60 5761.5n60 61958.5n60 1755n61 12125n61 297.5n52
85 "AMD Ryzen 7 5800X3D" "Vermeer (Zen3)" 4MB + 96MB 105 3400 ‑ 4500 8/16 ~50.491% 241 2413 1452 14317 19.1 212.6 6799 69518 1622 10856 
86 "AMD Ryzen 7 5800X" "Vermeer (Zen 3)" 4MB + 32MB 105 3800 ‑ 4700 8/16 53.6 265.5n2 2608.5n2 1574.5n2 15476n2 20.3n2 196.9n2 6906.5n2 72113.5n2 1683n2 10723.5n2 301.5n2
87 "Intel Core i9-11900K" "Rocket Lake" 4MB + 16MB 125 3500 ‑ 5300 8/16 51.7 255n4 2379n4 1636n5 14747n5 18.2n4 211.85n4 6347n4 59658.5n4 1787.5n6 10483n6 283.5n4
88 "Intel Core i7-1370P" "Raptor Lake-P" 11.5MB + 24MB 28 1400 ‑ 5200 14/20 52.1 271n2 2272n2 1872.5n2 12968.5n2 12.08n2 317.5n2 6413.5n2 51639n2 1887n3 10353n3 296n3
89* "AMD Ryzen 9 PRO 6950H" "Rembrandt-H (Zen 3+)" 4MB + 16MB 45 3300 ‑ 4900 8/16            
90 "AMD Ryzen 9 6900HX" "Rembrandt-H (Zen 3+)" 4MB + 16MB 45 3300 ‑ 4900 8/16 49.5 249n19 2231n19 1558n19 13497n19 16.95n20 231n21 5817n20 61333n20 1589n21 9647n21 286n17
91 "Intel Core i9-10900K" "Comet Lake" 2.5MB + 20MB 125 3700 ‑ 5300 10/20 48.3 217n3 2533n3 1374 15821 19.8n3 179n3 5811n3 69987n3 1428n3 11393n3 255n3
92* "Intel Core i5-13450HX" "Raptor Lake-HX" + 20MB 55 1800 ‑ 4600 10/16            
93 "Intel Core i7-12650H" "Alder Lake-H" 9.5MB + 24MB 45 1700 ‑ 4700 10/16 50 253n11 1893n11 1770n11 12326n11 14.5n13 267n12 5674n11 49673n11 1772n13 10126n13 299n7
94 "Intel Core i9-11900KB" "Tiger Lake-H" 10MB + 24MB 65 3300 ‑ 5300 8/16 48.4 247 2027 1621 11726 14.4 262.7 5979 50152 1656 8924 269
95 "AMD Ryzen 9 3900" "Matisse (Zen 2)" 6MB + 64MB 65 3100 ‑ 4300 12/24 ~4882% 197 2804   18.9 179 5134 75612 1246 10190 227
96 "Intel Core i9-10850K" "Comet Lake-S" 2.5MB + 20MB 125 3600 ‑ 5200 10/20 48.1 215 2457 1314 15538 20.3 181.2 5914 70932 1401 11436 253
97 "AMD Ryzen 7 5700X" "Vermeer (Zen 3)" 4MB + 32MB 65 3400 ‑ 4600 8/16 51.1 253 2329 1499 13184 17.1 221 6522 65777 1647 9353 310
98 "Intel Core i7-11700K" "Rocket Lake" 4MB + 16MB 125 3600 ‑ 5000 8/16 49.7 240n2 2299n2 1558 14281 16.3 221 6157 57129 1765.5n2 10786.5n2 254
99 "AMD Ryzen 7 5700G" "Cezanne (Zen 3)" 4MB + 16MB 65 3800 ‑ 4600 8/16 48.6 242.5n2 2107n2 1494n2 12830.5n2 15.8n2 232.85n2 5813.5n2 59702n2 1579n2 8681n2 289.5n2
100 "AMD Ryzen 7 PRO 5750G" "Cezanne PRO (Zen 3)" 4MB + 16MB 65 3800 ‑ 4600 8/16 47.5 241 1956 1500 12157 14.4 245 5682 57184 1561 8396 276
101 "Apple M1 Max"  28MB + 48MB  2060 ‑ 3220 10/10 ~52.473% 200n3 1691n3 1533n3 12386n3  189n3   1782n3 12697n3 360n3
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
102* "Apple M2 Pro 10-Core"  36MB + 24MB  2424 ‑ 3696 10/10 ~55.473% 231 1664 1643 11811  415   1936.5n2 12131.5n2 391
103 "Apple M1 Pro"  28MB + 24MB  2064 ‑ 3220 10/10 ~52.273% 209 1690 1534 12370  183.3   1768 12499 342
104* "AMD Ryzen 9 6980HS" "Rembrandt-HS (Zen 3+)" 4MB + 16MB 35 3300 ‑ 5000 8/16            
105 "AMD Ryzen 9 6900HS" "Rembrandt-H (Zen 3+)" 4MB + 16MB 35 3300 ‑ 4900 8/16 48.9 245n5 2161n5 1554n5 13445n5 16.2n5 227n5 5805n5 62006n5 1537n5 9224n5 281n5
106 "AMD Ryzen 9 PRO 6950HS" "Rembrandt-HS (Zen 3+)" 4MB + 16MB 35 3300 ‑ 4900 8/16 46.4 239 1913 1514 11515 12.8 264 5516 49474 1549 7664 274
107 "Intel Core i9-10910" "Comet Lake-S" 2.5MB + 20MB 125 3600 ‑ 5000 10/20 ~48.482% 215 2302   16.8 208 5690 60747 1381 10244 236
108 "AMD Ryzen 7 6800H" "Rembrandt-H (Zen 3+)" 4MB + 16MB 45 3200 ‑ 4700 8/16 48.5 243n9 2151n9 1526.5n8 12832n10 16.15n8 236n7 5768n7 58798n7 1551.5n8 9388.5n8 281n7
109 "AMD Ryzen 7 PRO 6850H" "Rembrandt-H (Zen 3+)" 4MB + 16MB 45 3200 ‑ 4700 8/16 45 205.1n2 2085.5n2 1480n2 12393n2 14.3n2 241.5n2 5417n2 54444.5n2 1477.5n2 8472n2 232n2
110 "Intel Core i9-11980HK" "Tiger Lake-HK" 10MB + 24MB 55 3300 ‑ 5000 8/16 48 230n6 2152n7 1559n2 10923n2 15.8n5 256n4 5668n5 53426n5 1627n5 9813n5 279n5
111* "AMD Ryzen 9 5980HX" "Cezanne-HX (Zen 3)" 4MB + 16MB 54 3300 ‑ 4800 8/16            
